trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
140,-1,620,3,0,2,80
141,-1,2090,3,3,0,210
141,-1,2090,3,3,2,1390
141,-1,2090,3,3,0,70
141,-1,2090,3,3,1,420
142,-1,880,3,0,0,220
142,-1,880,3,0,1,220
142,-1,880,3,0,0,70
142,-1,880,3,0,2,350
142,-1,880,3,0,0,20
143,-1,530,3,4,0,260
143,-1,530,3,4,1,270
144,1,860,3,2,0,300
144,1,860,3,2,1,280
144,1,860,3,2,0,70
144,1,860,3,2,2,210
145,-1,970,3,3,0,220
145,-1,970,3,3,2,210
145,-1,970,3,3,0,70
145,-1,970,3,3,1,440
145,-1,970,3,3,0,30
146,-1,1270,3,3,0,200
146,-1,1270,3,3,1,270
146,-1,1270,3,3,0,70
146,-1,1270,3,3,2,160
146,-1,1270,3,3,0,80
146,-1,1270,3,3,1,490
147,1,980,3,6,0,230
147,1,980,3,6,1,300
147,1,980,3,6,0,70
147,1,980,3,6,2,380
148,1,2000,3,6,0,310
148,1,2000,3,6,1,180
148,1,2000,3,6,0,70
148,1,2000,3,6,2,420
148,1,2000,3,6,0,80
148,1,2000,3,6,1,620
148,1,2000,3,6,0,50
148,1,2000,3,6,2,270
149,1,1120,3,4,0,310
149,1,1120,3,4,1,250
149,1,1120,3,4,0,70
149,1,1120,3,4,2,370
149,1,1120,3,4,0,80
149,1,1120,3,4,1,40
150,1,750,3,6,0,240
150,1,750,3,6,2,250
150,1,750,3,6,0,70
150,1,750,3,6,1,190
151,-1,2470,3,3,0,360
151,-1,2470,3,3,1,300
151,-1,2470,3,3,0,70
151,-1,2470,3,3,2,600
151,-1,2470,3,3,0,80
151,-1,2470,3,3,1,300
151,-1,2470,3,3,0,50
151,-1,2470,3,3,2,360
151,-1,2470,3,3,0,70
151,-1,2470,3,3,1,280
152,-1,340,3,1,0,270
152,-1,340,3,1,1,70
153,-1,380,3,1,0,240
153,-1,380,3,1,2,140
154,1,1790,3,5,0,210
154,1,1790,3,5,1,150
154,1,1790,3,5,0,70
154,1,1790,3,5,2,330
154,1,1790,3,5,0,80
154,1,1790,3,5,1,260
154,1,1790,3,5,0,50
154,1,1790,3,5,2,640
155,1,5180,3,2,0,250
155,1,5180,3,2,2,210
155,1,5180,3,2,0,70
155,1,5180,3,2,1,540
155,1,5180,3,2,0,80
155,1,5180,3,2,2,900
155,1,5180,3,2,0,50
155,1,5180,3,2,1,650
155,1,5180,3,2,0,70
155,1,5180,3,2,2,1280
155,1,5180,3,2,0,80
155,1,5180,3,2,1,610
