parcode,trial,fixItem,fixTime,encF,compE
0,565,1,298,1,0
0,565,2,414,1,0
0,565,1,166,1,0
0,567,1,294,1,0
0,567,2,480,1,0
0,567,1,246,1,0
0,568,1,238,1,0
0,568,2,644,1,0
0,569,1,350,1,0
0,569,2,486,1,0
0,570,1,310,1,0
0,570,2,618,1,0
0,572,2,382,0,0
0,572,1,748,0,0
0,573,1,458,0,0
0,573,2,388,0,0
0,577,1,250,0,0
0,577,2,524,0,0
0,580,1,258,0,0
0,580,2,452,0,0
0,580,1,184,0,0
0,581,1,252,0,0
0,581,2,730,0,0
0,583,1,210,0,0
0,583,2,514,0,0
0,583,1,496,0,0
0,583,2,106,0,0
0,585,1,270,0,0
0,585,2,434,0,0
0,585,1,324,0,0
0,586,1,294,0,0
0,586,2,772,0,0
0,592,1,224,0,0
0,592,2,654,0,0
0,593,1,266,0,0
0,593,2,338,0,0
0,595,1,326,0,0
0,595,2,406,0,0
0,596,1,276,0,0
0,596,2,802,0,0
0,598,1,288,0,0
0,598,2,550,0,0
0,598,1,202,0,0
0,599,1,296,0,0
0,599,2,380,0,0
0,601,1,184,1,0
0,601,2,696,1,0
0,602,1,270,1,0
0,602,2,618,1,0
0,604,1,234,1,0
0,604,2,444,1,0
0,604,1,408,1,0
0,605,1,190,1,0
0,605,2,574,1,0
0,605,1,662,1,0
0,605,2,148,1,0
0,607,1,288,1,0
0,607,2,730,1,0
0,609,1,260,1,0
0,609,2,384,1,0
0,614,1,270,1,0
0,614,2,622,1,0
0,615,1,204,1,0
0,615,2,418,1,0
0,615,1,470,1,0
0,616,1,380,1,0
0,616,2,510,1,0
0,616,1,154,1,0
0,618,1,236,1,0
0,618,2,612,1,0
0,618,1,118,1,0
0,620,1,228,1,0
0,620,2,392,1,0
0,620,1,294,1,0
0,621,1,398,1,0
0,621,2,490,1,0
0,621,1,120,1,0
0,622,1,284,1,0
0,622,2,440,1,0
0,622,1,102,1,0
0,623,1,250,1,0
0,623,2,410,1,0
0,624,1,382,1,0
0,624,2,458,1,0
0,624,1,460,1,0
0,624,2,416,1,0
0,625,1,266,1,0
0,625,2,404,1,0
0,625,1,94,1,0
0,626,1,228,1,0
0,626,2,340,1,0
0,626,1,152,1,0
0,627,1,268,1,0
0,627,2,338,1,0
0,628,1,212,0,0
0,628,2,472,0,0
0,630,1,196,0,0
0,630,2,762,0,0
0,631,1,160,0,0
0,631,2,374,0,0
0,632,1,208,0,0
0,632,2,434,0,0
0,632,1,680,0,0
0,633,1,254,0,0
0,633,2,562,0,0
0,633,1,230,0,0
0,634,1,270,0,0
0,634,2,424,0,0
0,636,1,194,0,0
0,636,2,280,0,0
0,637,1,218,0,0
0,637,2,312,0,0
0,638,1,280,0,0
0,638,2,438,0,0
0,640,1,348,0,0
0,640,2,414,0,0
0,641,1,212,0,0
0,641,2,208,0,0
0,642,1,334,0,0
0,642,2,622,0,0
